attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minsum,MinSum,TrimmedMean,0.3,0.1622,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.4,0.1627,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.49,0.1002,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.6,0.1,0.0,1,1.0,
sf,SF,AG-PTR,0.0,0.3873,0.0,1,0.85,
sf,SF,AG-PTR,0.1,0.3746,0.0,1,0.8888888888888888,
sf,SF,AG-PTR,0.2,0.3582,0.0,1,0.85,
sf,SF,AG-PTR,0.3,0.3379,0.0,1,0.6888888888888889,
sf,SF,AG-PTR,0.4,0.2407,0.0,1,0.1666666666666666,
sf,SF,AG-PTR,0.49,0.1066,0.0,1,0.0,
sf,SF,AG-PTR,0.6,0.1066,0.0,1,0.0,
sf,SF,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
sf,SF,DP-FedAvg,0.1,0.1749,0.0,1,1.0,
sf,SF,DP-FedAvg,0.2,0.1496,0.0,1,1.0,
sf,SF,DP-FedAvg,0.3,0.1267,0.0,1,1.0,
sf,SF,DP-FedAvg,0.4,0.1024,0.0,1,1.0,
sf,SF,DP-FedAvg,0.49,0.1,0.0,1,1.0,
sf,SF,DP-FedAvg,0.6,0.1,0.0,1,1.0,
sf,SF,FedVRDP,0.0,0.3741,0.0,1,1.0,
sf,SF,FedVRDP,0.1,0.1697,0.0,1,1.0,
sf,SF,FedVRDP,0.2,0.1654,0.0,1,1.0,
sf,SF,FedVRDP,0.3,0.1679,0.0,1,1.0,
sf,SF,FedVRDP,0.4,0.1482,0.0,1,1.0,
sf,SF,FedVRDP,0.49,0.1,0.0,1,1.0,
sf,SF,FedVRDP,0.6,0.1,0.0,1,1.0,
sf,SF,FedVRDP-style,0.0,0.335,0.0,1,1.0,
sf,SF,FedVRDP-style,0.1,0.1141,0.0,1,1.0,
sf,SF,FedVRDP-style,0.2,0.1567,0.0,1,1.0,
sf,SF,FedVRDP-style,0.3,0.0911,0.0,1,1.0,
sf,SF,FedVRDP-style,0.4,0.098,0.0,1,1.0,
sf,SF,FedVRDP-style,0.49,0.1,0.0,1,1.0,
sf,SF,FedVRDP-style,0.6,0.1,0.0,1,1.0,
sf,SF,Krum,0.0,0.3497,0.0,1,1.0,
sf,SF,Krum,0.1,0.3519,0.0,1,1.0,
sf,SF,Krum,0.2,0.362,0.0,1,1.0,
sf,SF,Krum,0.3,0.3445,0.0,1,1.0,
sf,SF,Krum,0.4,0.3563,0.0,1,1.0,
sf,SF,Krum,0.49,0.1,0.0,1,1.0,
sf,SF,Krum,0.6,0.1,0.0,1,1.0,
sf,SF,Median,0.0,0.4423,0.0,1,1.0,
sf,SF,Median,0.1,0.3299,0.0,1,1.0,
sf,SF,Median,0.2,0.2069,0.0,1,1.0,
sf,SF,Median,0.3,0.1131,0.0,1,1.0,
sf,SF,Median,0.4,0.1724,0.0,1,1.0,
sf,SF,Median,0.49,0.1539,0.0,1,1.0,
sf,SF,Median,0.6,0.1,0.0,1,1.0,
sf,SF,SparseFed-style,0.0,0.4678,0.0,1,1.0,
sf,SF,SparseFed-style,0.1,0.1458,0.0,1,1.0,
sf,SF,SparseFed-style,0.2,0.1638,0.0,1,1.0,
sf,SF,SparseFed-style,0.3,0.165,0.0,1,1.0,
sf,SF,SparseFed-style,0.4,0.147,0.0,1,1.0,
sf,SF,SparseFed-style,0.49,0.1009,0.0,1,1.0,
sf,SF,SparseFed-style,0.6,0.1,0.0,1,1.0,
sf,SF,TrimmedMean,0.0,0.4795,0.0,1,1.0,
sf,SF,TrimmedMean,0.1,0.2657,0.0,1,1.0,
sf,SF,TrimmedMean,0.2,0.1688,0.0,1,1.0,
sf,SF,TrimmedMean,0.3,0.1574,0.0,1,1.0,
sf,SF,TrimmedMean,0.4,0.1564,0.0,1,1.0,
sf,SF,TrimmedMean,0.49,0.1539,0.0,1,1.0,
sf,SF,TrimmedMean,0.6,0.1,0.0,1,1.0,
