attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
foe,FoE,SparseFed-style,0.4,0.7271,0.0,1,1.0,
foe,FoE,SparseFed-style,0.49,0.2768,0.0,1,1.0,
foe,FoE,SparseFed-style,0.6,0.1,0.0,1,1.0,
foe,FoE,TrimmedMean,0.0,0.805,0.0,1,1.0,
foe,FoE,TrimmedMean,0.1,0.7764,0.0,1,1.0,
foe,FoE,TrimmedMean,0.2,0.7228,0.0,1,1.0,
foe,FoE,TrimmedMean,0.3,0.4944,0.0,1,1.0,
foe,FoE,TrimmedMean,0.4,0.1899,0.0,1,1.0,
foe,FoE,TrimmedMean,0.49,0.1755,0.0,1,1.0,
foe,FoE,TrimmedMean,0.6,0.1,0.0,1,1.0,
inball,InBall,AG-PTR,0.0,0.7728,0.0,1,0.9444444444444444,
inball,InBall,AG-PTR,0.1,0.7406,0.0,1,0.8666666666666667,
inball,InBall,AG-PTR,0.2,0.7445,0.0,1,0.9444444444444444,
inball,InBall,AG-PTR,0.3,0.6586666666666666,0.06377149310885971,3,0.9833333333333333,0.011111111111111101
inball,InBall,AG-PTR,0.4,0.6193,0.07487235805021776,3,1.0,0.0
inball,InBall,AG-PTR,0.49,0.6442,0.013572398461583677,3,1.0,0.0
inball,InBall,AG-PTR,0.6,0.6148,0.0,1,1.0,
lf,LF,AG-PTR,0.0,0.7728,0.0,1,0.9444444444444444,
lf,LF,AG-PTR,0.1,0.7622,0.0,1,0.9111111111111112,
lf,LF,AG-PTR,0.2,0.7676,0.0,1,0.9,
lf,LF,AG-PTR,0.3,0.7572,0.0,1,0.8555555555555555,
lf,LF,AG-PTR,0.4,0.7523,0.0,1,0.5222222222222223,
lf,LF,AG-PTR,0.49,0.7149,0.0,1,0.2555555555555555,
lf,LF,AG-PTR,0.6,0.2284,0.0,1,0.0222222222222222,
lf,LF,AnchoredClip-NoGate,0.0,0.8007,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.1,0.8014,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.2,0.7821,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.3,0.7434,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.4,0.627,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.49,0.4304,0.0,1,1.0,
lf,LF,AnchoredClip-NoGate,0.6,0.1943,0.0,1,1.0,
lf,LF,DP-FedAvg,0.0,0.7087,0.0,1,1.0,
lf,LF,DP-FedAvg,0.1,0.665,0.0,1,1.0,
lf,LF,DP-FedAvg,0.2,0.5932,0.0,1,1.0,
lf,LF,DP-FedAvg,0.3,0.5071,0.0,1,1.0,
lf,LF,DP-FedAvg,0.4,0.4083,0.0,1,1.0,
lf,LF,DP-FedAvg,0.49,0.3263,0.0,1,1.0,
lf,LF,DP-FedAvg,0.6,0.2307,0.0,1,1.0,
