attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minsum,MinSum,FedVRDP,0.0,0.7776,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.1,0.6699,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.2,0.5833,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.3,0.4738,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.4,0.4246,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.49,0.2722,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.6,0.2121,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.0,0.7541,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.1,0.68,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.2,0.4343,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.3,0.3148,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.4,0.3431,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.49,0.2274,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.6,0.1552,0.0,1,1.0,
minsum,MinSum,Krum,0.0,0.7123,0.0,1,1.0,
minsum,MinSum,Krum,0.1,0.6869,0.0,1,1.0,
minsum,MinSum,Krum,0.2,0.7061,0.0,1,1.0,
minsum,MinSum,Krum,0.3,0.6866,0.0,1,1.0,
minsum,MinSum,Krum,0.4,0.1,0.0,1,1.0,
minsum,MinSum,Krum,0.49,0.1,0.0,1,1.0,
minsum,MinSum,Krum,0.6,0.1,0.0,1,1.0,
minsum,MinSum,Median,0.0,0.7415,0.0,1,1.0,
minsum,MinSum,Median,0.1,0.6541,0.0,1,1.0,
minsum,MinSum,Median,0.2,0.4598,0.0,1,1.0,
minsum,MinSum,Median,0.3,0.3319,0.0,1,1.0,
minsum,MinSum,Median,0.4,0.1905,0.0,1,1.0,
minsum,MinSum,Median,0.49,0.2784,0.0,1,1.0,
minsum,MinSum,Median,0.6,0.1,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.0,0.8003,0.0,1,1.0,
