sigma_mode,attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
nominal,minsum,MinSum,SparseFed-style,0.2,0.6675,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.3,0.6459,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.4,0.5072,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.49,0.3669,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.6,0.1439,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.0,0.8048,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.1,0.7179,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.2,0.6608,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.3,0.4881,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.4,0.1847,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.49,0.1181,0.0,1,,
nominal,minsum,MinSum,TrimmedMean,0.6,0.1212,0.0,1,,
nominal,sf,SF,AG-PTR,0.0,0.761,0.0,1,0.977778,
nominal,sf,SF,AG-PTR,0.1,0.7663,0.0,1,0.972222,
nominal,sf,SF,AG-PTR,0.2,0.7566,0.0,1,0.9,
nominal,sf,SF,AG-PTR,0.3,0.7528,0.0,1,0.627778,
nominal,sf,SF,AG-PTR,0.4,0.7354,0.0,1,0.411111,
nominal,sf,SF,AG-PTR,0.49,0.6518,0.0,1,0.127778,
nominal,sf,SF,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,sf,SF,DP-FedAvg,0.0,0.7238,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.1,0.5799,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.2,0.5161,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.3,0.3064,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.4,0.2387,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.49,0.1,0.0,1,,
nominal,sf,SF,DP-FedAvg,0.6,0.1,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.1,0.4032,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.2,0.178,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.3,0.156,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.4,0.0994,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.49,0.1061,0.0,1,,
nominal,sf,SF,FedVRDP-style,0.6,0.1,0.0,1,,
nominal,sf,SF,Krum,0.0,0.7265,0.0,1,,
nominal,sf,SF,Krum,0.1,0.6955,0.0,1,,
nominal,sf,SF,Krum,0.2,0.7095,0.0,1,,
nominal,sf,SF,Krum,0.3,0.7214,0.0,1,,
nominal,sf,SF,Krum,0.4,0.7257,0.0,1,,
nominal,sf,SF,Krum,0.49,0.1,0.0,1,,
nominal,sf,SF,Krum,0.6,0.1,0.0,1,,
nominal,sf,SF,Median,0.0,0.7697,0.0,1,,
nominal,sf,SF,Median,0.1,0.7239,0.0,1,,
nominal,sf,SF,Median,0.2,0.6395,0.0,1,,
nominal,sf,SF,Median,0.3,0.4016,0.0,1,,
nominal,sf,SF,Median,0.4,0.2397,0.0,1,,
nominal,sf,SF,Median,0.49,0.1272,0.0,1,,
nominal,sf,SF,Median,0.6,0.1,0.0,1,,
nominal,sf,SF,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,sf,SF,SparseFed-style,0.1,0.6397,0.0,1,,
nominal,sf,SF,SparseFed-style,0.2,0.0509,0.0,1,,
nominal,sf,SF,SparseFed-style,0.3,0.0126,0.0,1,,
nominal,sf,SF,SparseFed-style,0.4,0.0097,0.0,1,,
nominal,sf,SF,SparseFed-style,0.49,0.2596,0.0,1,,
nominal,sf,SF,SparseFed-style,0.6,0.1,0.0,1,,
nominal,sf,SF,TrimmedMean,0.0,0.8048,0.0,1,,
nominal,sf,SF,TrimmedMean,0.1,0.7128,0.0,1,,
nominal,sf,SF,TrimmedMean,0.2,0.6377,0.0,1,,
nominal,sf,SF,TrimmedMean,0.3,0.5046,0.0,1,,
nominal,sf,SF,TrimmedMean,0.4,0.1793,0.0,1,,
nominal,sf,SF,TrimmedMean,0.49,0.1354,0.0,1,,
nominal,sf,SF,TrimmedMean,0.6,0.1,0.0,1,,
