Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,FoE,TrimmedMean,0.2,0.7228,1.0
Fashion-MNIST-IID,FoE,Krum,0.2,0.7011,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.2,0.7787,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.2,0.7445,0.8888888888888888
Fashion-MNIST-IID,FoE,DP-FedAvg,0.3,0.6561,1.0
Fashion-MNIST-IID,FoE,Median,0.3,0.5202,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.3,0.4944,1.0
Fashion-MNIST-IID,FoE,Krum,0.3,0.5562,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.3,0.7685,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.3,0.7629,0.6333333333333333
Fashion-MNIST-IID,FoE,DP-FedAvg,0.4,0.5998,1.0
Fashion-MNIST-IID,FoE,Median,0.4,0.187,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.4,0.1899,1.0
Fashion-MNIST-IID,FoE,Krum,0.4,0.004,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.4,0.7271,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.4,0.7555,0.4666666666666667
Fashion-MNIST-IID,FoE,DP-FedAvg,0.49,0.1,1.0
Fashion-MNIST-IID,FoE,Median,0.49,0.1732,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.49,0.1755,1.0
Fashion-MNIST-IID,FoE,Krum,0.49,0.1,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.49,0.2768,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.49,0.6524,0.1333333333333333
Fashion-MNIST-IID,FoE,DP-FedAvg,0.6,0.1,1.0
Fashion-MNIST-IID,FoE,Median,0.6,0.1,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-IID,FoE,Krum,0.6,0.1,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.6,0.1,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.1,0.7574,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.2,0.7167,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.3,0.6595,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.4,0.5254,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.49,0.3617,1.0
Fashion-MNIST-IID,ALIE,FedVRDP,0.6,0.1474,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.1,0.6429,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.2,0.2844,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.3,0.2786,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.4,0.1649,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.49,0.096,1.0
Fashion-MNIST-IID,SF,FedVRDP,0.6,0.1,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.1,0.728,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.2,0.6013,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.3,0.5358,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.4,0.4815,1.0
